form	lemma	POS	morph
Remenbransa	remembransa	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
sia	ęser	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
que	que2	CONsub	MORPH=empty
li	lo2	DETdef	NOMB.=s|GENRE=m|CAS=n
cosols	consol	VERppe	NOMB.=s|GENRE=m|CAS=n
foront	ęser	ADVgen	DEGRE=-
meis	mẹs	CONcoo	MORPH=empty
noel	novęl	ADJqua	NOMB.=s|GENRE=m|CAS=r
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
meis	mẹs	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
feureir	febrier	VERinf	MORPH=empty
en	ẹn	PRE	MORPH=empty
l	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
an	an	PRE	MORPH=empty
de	de	PRE	MORPH=empty
MºCCºLXIII	@num@	NOMpro	NOMB.=s|GENRE=m|CAS=n
ans	an	NOMcom	DEGRE=-
E	e	CONcoo	MORPH=empty
foront	ęser	ADVgen	DEGRE=-
cosols	consol	VERppe	NOMB.=s|GENRE=m|CAS=n
W	W	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
Bualets	Biuolet	VERppe	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
B	B	ADVgen	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Mazoers	Mazoeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
que	que	CONsub	MORPH=empty
a	a2	PRE	MORPH=empty
la	lo2	DETdef	NOMB.=s|GENRE=f|CAS=n
Gozoma	Gozoma	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
en	ẹn2	PRE	MORPH=empty
D	D	PRE	MORPH=empty
Doel	Doel	NOMpro	NOMB.=s|GENRE=m|CAS=r
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
Malneir	Malneir	NOMpro	NOMB.=s|GENRE=m|CAS=n
e	e	CONcoo	MORPH=empty
P	P	PRE	MORPH=empty
de	de	PRE	MORPH=empty
Bornet	Bornet	NOMpro	NOMB.=p|GENRE=m|CAS=n
R	R	ADVgen	DEGRE=-
Mazoeir	Mazoeir	NOMpro	NOMB.=s|GENRE=m|CAS=n
Jo	Jo	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
Tras	Tras	ADVgen	DEGRE=-
e	e	CONcoo	MORPH=empty
P	P	PRE	MORPH=empty
del	del	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
Chambo	Chambo	NOMcom	NOMB.=s|GENRE=m|CAS=n
