form	lemma	POS	morph
poissas	pǫis 	NOMcom	NOMB.=s|GENRE=m|CAS=n
lur	lor	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
dis	dire	NOMcom	NOMB.=p|GENRE=m|CAS=n
tot	tọt	ADVgen	NOMB.=s|GENRE=n|CAS=r
en	ẹn2	PRE	MORPH=empty
apert	apęrt	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
:	:	PONfbl	_
«	«	PONpga	MORPH=empty
vostre	vǫstre	DETpos	PERS.=2|NOMB.=p|GENRE=m|CAS=n
cor	cǫr	NOMcom	MORPH=empty
no	nọṉ	NOMcom	MORPH=empty
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
tengas	tenẹr	NOMcom	NOMB.=s|GENRE=m|CAS=n
cubert	cobrir	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	_
mais	mais 	CONcoo	MORPH=empty
digas	dire	NOMpro	NOMB.=s|GENRE=m|CAS=n
mi	mi	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
:	:	PONfbl	_
si	si	ADVgen	DEGRE=-
dieus	dęu	NOMpro	NOMB.=s|GENRE=m|CAS=n
mi	mi	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
dona	donar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
un'	uṉ	DETndf	NOMB.=s|GENRE=m|CAS=r
aventura	aventura	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
m'	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
es	ęser	PRE.DETdef	DEGRE=-
bona	bọṉ	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
non	non	NOMcom	MORPH=empty
sabra	saber	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
bon	bọṉ	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p
a	a2	PRE	MORPH=empty
totz	tọt	PROind	NOMB.=s|GENRE=m|CAS=n
ensems	ensẹms	ADVgen	DEGRE=-
?	?	PONfrt	_
Ieu	lęu3	NOMpro	NOMB.=s|GENRE=m|CAS=r
ai	avẹr	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
desirat	desirar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
mout	mọlt 	ADVgen	DEGRE=-
lonc	lọnc	ADVgen	DEGRE=-
temps	tẹmps	NOMcom	NOMB.=s|GENRE=m|CAS=n
c'	que2	CONsub	NOMB.=s|GENRE=n|CAS=n
ap	avẹr	PRE	MORPH=empty
n'	ẹn2	ADVneg	MORPH=empty
archimbaut	Archimbautz	NOMpro	NOMB.=s|GENRE=m|CAS=n
agues	avẹr	NOMpro	NOMB.=s|GENRE=m|CAS=n
paria	paria	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
,	,	PONfbl	_
ar	ar	ADVgen	DEGRE=-
son	ęser 	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
vengutz	venir	VERppe	NOMB.=s|GENRE=m|CAS=n
d'	de	PRE	MORPH=empty
en	ẹn	PRE	MORPH=empty
lai	lai	ADVgen	NOMB.=s|GENRE=f|CAS=r
al	al2	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
dia	dia	VERcjg	MORPH=empty
ques	que2	DETint	NOMB.=s|GENRE=m|CAS=n
el	el2	PRE.DETdef	PERS.=3|NOMB.=s|GENRE=f|CAS=n
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
quer	quęrre	ADVgen	MORPH=empty
e	e	CONcoo	MORPH=empty
la	lo3	DETdef	NOMB.=s|GENRE=f|CAS=n
demanda	demandar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
:	:	PONfbl	_
per	per	NOMcom	MORPH=empty
son	sọṉ2	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r
anel	anęl 	NOMcom	NOMB.=s|GENRE=m|CAS=r
domini	domini	VERppe	NOMB.=s|GENRE=m|CAS=r
-m	me	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r
manda	mandar	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
que	que2	CONsub	MORPH=empty
flamenca	Flamenca	NOMpro	NOMB.=s|GENRE=m|CAS=n
